timestamp,open,high,low,close,volume
18/06/2025 22.09,105042.3,105054.9,104957.1,104959.3,53.306
18/06/2025 22.10,104959.3,104979.1,104888,104891.9,103.892
18/06/2025 22.11,104891.9,104891.9,104833.3,104862.7,155.955
18/06/2025 22.12,104862.7,104885.1,104818.8,104818.8,61.44
18/06/2025 22.13,104818.9,104829.2,104818.8,104822.7,41.259
18/06/2025 22.14,104822.8,104861.5,104822.8,104861.5,28.082
18/06/2025 22.15,104862.1,104866.7,104802.2,104805.2,82.087
18/06/2025 22.16,104805.3,104818.8,104785.7,104800,58.81
18/06/2025 22.17,104800.1,104800.1,104787.7,104792.3,22.146
18/06/2025 22.18,104792.4,104846.6,104792.3,104817.6,54.5
18/06/2025 22.19,104817.7,104871.4,104817.6,104871.3,74.646
18/06/2025 22.20,104871.3,104909.5,104861.9,104909.5,31.768
18/06/2025 22.21,104909.5,104909.5,104812.3,104857.4,101.584
18/06/2025 22.22,104857.4,104887,104852.1,104887,35.698
18/06/2025 22.23,104887,104887,104854.8,104879.9,23.185
18/06/2025 22.24,104880,104948.8,104879.9,104948.8,47.502
18/06/2025 22.25,104948.7,104976.2,104948.7,104962.3,42.388
18/06/2025 22.26,104962.4,104962.4,104922.4,104944.4,22.069
18/06/2025 22.27,104944.5,104956,104931.4,104955.9,30.721
18/06/2025 22.28,104956,104959.7,104900,104922.9,40.221
18/06/2025 22.29,104922.9,104929.6,104912.9,104912.9,17.979
18/06/2025 22.30,104912.9,104943.6,104888.5,104888.5,64.072
18/06/2025 22.31,104888.6,104904.8,104888.5,104888.8,23.468
18/06/2025 22.32,104888.7,104901.2,104888.7,104896.1,11.891
18/06/2025 22.33,104896.1,104907,104888.5,104893.2,34.644
18/06/2025 22.34,104893.2,104893.3,104840.3,104850,37.304
18/06/2025 22.35,104850,104850.1,104780,104780,38.526
18/06/2025 22.36,104780.1,104807.1,104780.1,104807.1,49.77
18/06/2025 22.37,104807,104821,104800,104800.1,16.947
18/06/2025 22.38,104800,104800.1,104787.3,104787.3,11.926
18/06/2025 22.39,104787.3,104836.9,104776.8,104824.9,59.57
18/06/2025 22.40,104824.9,104854,104805,104805,87.454
18/06/2025 22.41,104805,104823.1,104805,104823,8.238
18/06/2025 22.42,104823.1,104832.8,104822.8,104826.7,22.916
18/06/2025 22.43,104826.7,104842.4,104801.3,104842.4,40.553
18/06/2025 22.44,104842.3,104852.2,104828.5,104828.6,46.664
18/06/2025 22.45,104828.5,104832.9,104819.2,104832.8,29.049
18/06/2025 22.46,104832.9,104839.6,104832,104832,16.907
18/06/2025 22.47,104832,104850,104832,104850,10.219
18/06/2025 22.48,104849.9,104880,104849.9,104880,26.702
18/06/2025 22.49,104879.9,104880,104819.7,104819.8,55.642
18/06/2025 22.50,104819.8,104868.4,104819.7,104868.3,30.888
18/06/2025 22.51,104868.4,104874.2,104842.3,104842.3,11.106
18/06/2025 22.52,104842.3,104843,104824,104840.5,16.109
18/06/2025 22.53,104840.5,104861.8,104840.5,104852.2,15.523
18/06/2025 22.54,104852.2,104858.6,104842.4,104842.4,9.27
18/06/2025 22.55,104842.4,104842.5,104830.1,104830.1,23.629
18/06/2025 22.56,104830.1,104830.1,104809,104809.1,16.102
18/06/2025 22.57,104809,104809.1,104794,104794.1,25.697
18/06/2025 22.58,104794,104804.7,104743.8,104755.6,79.486
18/06/2025 22.59,104755.6,104771,104750.5,104770.9,24.286
18/06/2025 23.00,104770.9,104786.2,104763.5,104763.5,53.149
18/06/2025 23.01,104763.5,104774.1,104763.5,104771.1,23.051
18/06/2025 23.02,104771.1,104807.6,104760.9,104800.1,39.662
18/06/2025 23.03,104800.1,104836.5,104792.8,104836.4,36.768
18/06/2025 23.04,104836.5,104856.4,104836.4,104847.2,27.828
18/06/2025 23.05,104847.2,104913.3,104847.1,104904,51.551
18/06/2025 23.06,104904,104904.1,104863.3,104872.1,35.673
18/06/2025 23.07,104872,104872.1,104810.6,104810.6,18.373
18/06/2025 23.08,104810.6,104810.6,104784.9,104799.9,22.841
18/06/2025 23.09,104800,104815.4,104799.9,104815.3,17.043
18/06/2025 23.10,104815.2,104833.7,104815.2,104825.6,12.828
18/06/2025 23.11,104825.6,104860,104825.6,104857.5,34.509
18/06/2025 23.12,104857.5,104892.9,104857.5,104892.9,36.103
18/06/2025 23.13,104892.9,104916,104851.9,104856.8,44.17
18/06/2025 23.14,104856.8,104865.2,104846.5,104865.2,25.034
18/06/2025 23.15,104865.1,104865.2,104850,104859.8,28.282
18/06/2025 23.16,104859.9,104859.9,104839.8,104839.8,10.699
18/06/2025 23.17,104839.8,104845.9,104800,104800,40.659
18/06/2025 23.18,104800.1,104842,104800,104841.9,24.958
18/06/2025 23.19,104841.9,104858.7,104830.2,104830.2,14.307
18/06/2025 23.20,104830.2,104830.3,104818.3,104818.3,11.964
